idweb,objet,descripteur_libelle,cpv_clean,cpv_div2,category_id_rule,category_label_rule,category_id_final,notes
17-41053,"Travaux d'infrastructure et bâtiment pour l'aménagement des accès nord et sud de la gare de Saint-Nazaire, dans le cadre du pôle d'echange multimodal",Ascenseur|Assainissement|Bâtiment|Couverture|Eclairage public|Espaces verts|Etanchéité|Génie civil|Métallerie|Mobilier urbain|Réseaux divers|Revêtements de sols|Terrassement|Voirie,45454000.0,45.0,CAT05,Cloud & Infrastructure,,
22-34405,travaux de viabilisation et d'amenagement - boulevard de la baule,Assainissement|Espaces verts|Terrassement|Voirie et réseaux divers,45111291.0,45.0,CAT08,Data & AI,,
21-67771,Evolution des systèmes d'information et renouvellement des équipements pédagogiques numériques pour les BTS services informatiques aux organisations des lycées publics de la Région,Informatique (matériel),48800000.0,48.0,CAT05,Cloud & Infrastructure,,
20-68352,Accompagnement au déploiement du socle Publik et des e-services associés,Informatique (prestations de services),72611000.0,72.0,CAT10,IT Maintenance & Support,,
17-156562,"fourniture, supervision, monétique, assistance et maintenance d'infrastructures de recharge pour les véhicules électriques",Equipements spécialisés|Logiciel|Maintenance,32424000.0,32.0,CAT04,Telecom & Networks,,
22-61807,"Acquisition, mise en oeuvre, maintenance et évolution d'un logiciel de recrutement en mode Saas et prestations associées",Logiciel,72268000.0,72.0,CAT02,IT Services & Consulting,,
19-22007,MISE AUX NORMES ET OPTIMISATION DE TROIS DÉCHETTERIES,"Bâtiment|Clôture|Contrôle d'accès|Déchetterie (travaux)|Maîtrise d'oeuvre|Matériel de sécurité|Surveillance|Signalétique|Vidéo, cinéma|Voirie|Voirie et réseaux divers|Télésurveillance",45232470.0,45.0,CAT_UNKNOWN,Unknown,,
19-127477,refonte du système d'information de la direction de l'eau et de l'assainissement d'angers loire métropole,Alimentation en eau potable|Informatique (matériel)|Informatique (prestations de services)|Logiciel|Informatique (maintenance serveurs et réseaux),72212900.0,72.0,CAT07,Digital Workplace & Collaboration,,
17-179825,"supervision, sécurité et analyse des vulnérabilités pour les sites internet, veille cybersécurité",Informatique (prestations de services),72316000.0,72.0,CAT08,Data & AI,,
16-170075,"Achat d'un système de sonorisation et accrochage, pour la salle de concerts de 400 places",Sonorisation,32342410.0,32.0,CAT04,Telecom & Networks,,
16-124376,Le présent marché a pour objet la réalisation de prestations en assistance des équipes de la Région des Pays de la Loire dans les tâches d'administration de bases de données.,Informatique (prestations de services),72212610.0,72.0,CAT07,Digital Workplace & Collaboration,,
15-56776,"prestation de sonorisation et d'éclairage pour les festivals Tempo Rives et Accroches coeurs en 2015, à Angers",Matériel scénique|Prestations de services|Sonorisation,32342410.0,32.0,CAT04,Telecom & Networks,,
21-113592,Fourniture d'Équipements de Protection Individuelle et de vêtements de travail - accords-cadres mono-attributaires avec émission de bons de commande - groupement de commandes,Articles à usage unique|Consommables médicaux|Chaussures ou articles chaussants|Equipements spécialisés|Habillement|Textile,18143000.0,18.0,CAT_UNKNOWN,Unknown,,
19-118142,"Vérification périodique installations sécurité incendie, électroménager, ascenseurs, toitures terrasses gouttières chéneaux",Bâtiment|Surveillance,71315400.0,71.0,CAT_UNKNOWN,Unknown,,
16-137248,travaux d'entretien courant et de petites réparations répartis en 6 agences,Electricité (travaux)|Interphone|Maçonnerie|Menuiserie|Plomberie (travaux)|Serrurerie,45330000.0,45.0,CAT_UNKNOWN,Unknown,,
18-97260,18s0066 - fournitures de services de solutions d'impression bureautiques - groupement de commande,Informatique (matériel),30120000.0,30.0,CAT06,IT Hardware & Equipment,,
16-158195,acquisition d'une solution de ged (gestion électronique de documents) et de gec (gestion électronique de courrier) pour la ville de saint-hilaire-de-riez,Dématérialisation|Informatique (prestations de services)|Logiciel|Informatique (assistance)|Informatique (maintenance serveurs et réseaux),72212311.0,72.0,CAT07,Digital Workplace & Collaboration,,
15-32693,refonte globale de l'infrastructure serveurs et stockages informatiques à Bouguenais,Informatique (matériel)|Informatique (prestations de services),48800000.0,48.0,CAT05,Cloud & Infrastructure,,
16-38113,Fourniture et mise en oeuvre d'un sig de gestion des fourreaux de télécommunications pour le mans métropole à Le Mans (rectificatif),Informatique (prestations de services)|Télécommunications,72212214.0,72.0,CAT07,Digital Workplace & Collaboration,,
24-29281,"Fourniture de serveurs et logiciels « serveurs », matériels connexes, maintenance des matériels et prestations associées.",Informatique (maintenance serveurs et réseaux),48820000.0,48.0,CAT01,Software & Applications,,
16-170367,Mise en place d une solution de téléphonie Microsoft Skype Entreprise,Télécommunications|Matériel de téléphonie,64210000.0,64.0,CAT04,Telecom & Networks,,
21-145116,Fourniture de matériels informatiques et prestations associées,Informatique (matériel),30230000.0,30.0,CAT06,IT Hardware & Equipment,,
21-161904,Assistance pour le développement spécifique applicatif au sein du Département de Loire-Atlantique,Informatique (prestations de services),72611000.0,72.0,CAT10,IT Maintenance & Support,,
20-12576,"Fourniture, installation, et mise en service d'un système de sûreté ; vidéoprotection et contrôle d'accès",Télésurveillance,32323500.0,32.0,CAT04,Telecom & Networks,,
20-119807,Fourniture de supports audiovisuels,"Cd, DVD",,,CAT10,IT Maintenance & Support,,
20-143091,Acquisition d'un matériel de détection et de repiquage de cellules automatisé,Laboratoire (matériel),38000000.0,38.0,CAT_UNKNOWN,Unknown,,
16-179721,Remplacement des caméras d'exploitation et de la télécommiunication de sécurité du port de St Nazaire,"Vidéo, cinéma",32323500.0,32.0,CAT04,Telecom & Networks,,
17-58214,tierce maintenance applicative de la plateforme logicielle usine à sites (maintien en conditions operationnelles et evolutions) pour le compte du groupement de commandes informatiques,Prestations de services,72250000.0,72.0,CAT03,Cybersecurity,,
22-69242,acquisition d'un outil socle de gestion des contacts et d'evenements,Progiciel,48000000.0,48.0,CAT01,Software & Applications,,
23-115897,Acquisition de gilets haute visibilité normalisés à destination des élèves empruntant le transport scolaire,Matériel de sécurité,35113440.0,35.0,CAT03,Cybersecurity,,
21-145507,prestations d'assistance et d'expertise autour des composants d'infrastructure de niveau 2 et 3 pour le département et les collèges de loire-atlantique,Informatique (assistance),72611000.0,72.0,CAT10,IT Maintenance & Support,,
23-113700,"Renouvellement du système de Communication de Mauges sur Loire :Architecture réseau, VPN et téléphonie fixe (installation, migration, configuration, formation, garantie et maintenance)",Informatique (matériel)|Matériel de téléphonie|Informatique (maintenance serveurs et réseaux),32500000.0,32.0,CAT04,Telecom & Networks,,
20-118812,Renouvellement du parc informatique pour la migration vers Windows 10,Informatique (matériel),30200000.0,30.0,CAT06,IT Hardware & Equipment,,
23-68844,"Marché de prestations d'hébergement, de maintenance annuelle et évolutive des applicatifs Label Haie",Informatique (prestations de services),72212900.0,72.0,CAT07,Digital Workplace & Collaboration,,
22-73376,Accord-cadre relatif à l'évolution et la maintenance des infrastructures IT et à la mise en oeuvre d'une infrastructure d'Intercom pour la Cité des Congrès de Nantes,Audiovisuel|Câblage|Fibre optique|Informatique (prestations de services)|Matériel de téléphonie|Informatique (maintenance serveurs et réseaux),32424000.0,32.0,CAT04,Telecom & Networks,,
19-185581,fourniture de documents audiovisuels pour le bibliopôle,"Audiovisuel|Cd, DVD|Vidéo, cinéma",,,CAT08,Data & AI,,
21-156574,MISSION D'ASSISTANCE A MAITRISE D'OUVRAGE AFIN D'ELABORER DEUX SCHEMAS DIRECTEURS IMMOBILIERS POUR LES BESOINS DU DEPARTEMENT DE LA SARTHE,Assistance à maîtrise d'ouvrage,72224000.0,72.0,CAT02,IT Services & Consulting,,
23-61350,Réalisation d'un parking public d'usage partagé en superstructure aux abords du centre hospitalier du Mans et du Centre de Cancérologie de la Sarthe - Lots 12 et 13,Matériel électrique,45223300.0,45.0,CAT_UNKNOWN,Unknown,,
17-130880,"prestations de conception, développement et maintenance de sites internet",Informatique (prestations de services),72500000.0,72.0,CAT02,IT Services & Consulting,,
22-169110,Réhabilitation lourde de 7 Maisons de 2369 mètres carrés dites Maisons Pontavice pour la création d'un pôle de formations. aménagements paysagers. Projet situé en site sensible.,"Acier|Bardage|Bâtiment|Bois|Carrelage|Charpente|Chauffage (matériel)|Chauffage (travaux)|Cloison, faux plafond|Couverture|Cuisine (équipement)|Curage|Démolition|Electricité (travaux)|Equipements spécialisés|Fondations spéciales|Gros oeuvre|Isolation|Maçonnerie|Menuiserie|Mobilier|Peinture (travaux)|Plomberie (travaux)|Revêtements de sols|Serrurerie|Ventilation|Voirie et réseaux divers",45000000.0,45.0,CAT08,Data & AI,,
24-102167,Prestations en appui de la conduite de projets en systèmes d'informations ressources humaines,Informatique (maintenance serveurs et réseaux),72250000.0,72.0,CAT03,Cybersecurity,,
18-123490,A completer,Informatique (prestations de services),72212200.0,72.0,CAT07,Digital Workplace & Collaboration,,
16-130283,Externalisation de la hotline informatique dans les locaux du Département,Informatique (prestations de services)|Télécommunications,79512000.0,79.0,CAT10,IT Maintenance & Support,,
21-138343,"Fourniture, mise en oeuvre et maintenance de la plateforme d'hébergement et de stockage, de diffusion et de mise à jour du Plan corps de rue simplifié (PCRS) de la Mayenne",Informatique (matériel),48800000.0,48.0,CAT05,Cloud & Infrastructure,,
17-53063,17s0018 - acquisition et maintenance d'un logiciel de gestion clientèle et technique pour la direction du cycle de l'eau pour la carene (rectificatif),Logiciel,48445000.0,48.0,CAT01,Software & Applications,,
24-12133,Fourniture de services managés IT et d'infogérance de l'infrastructure informatique de l'ARS Pays de la Loire,Prestations de services,72514000.0,72.0,CAT02,IT Services & Consulting,,
23-179801,ACCORD-CADRE : FOURNITURE ET POSE DE SYSTEME DE VIDEO PROTECTION AINSI QUE MAINTENANCE ET PRESTATIONS ASSOCIEE DES SITES DEJA EXISTANTS,Informatique (matériel)|Informatique (maintenance serveurs et réseaux),48822000.0,48.0,CAT01,Software & Applications,,
24-35922,"Achat, entretien et maintenance de systèmes d'impressions",Informatique (matériel),30232100.0,30.0,CAT06,IT Hardware & Equipment,,
24-34668,Maintenance et exploitation des infrastructures d'eaux pluviales,Maintenance|Ouvrage d'infrastructure,90470000.0,90.0,CAT05,Cloud & Infrastructure,,
16-48130,renouvellement des solutions informatiques de billetteries et boutiques du Département à La Roche-sur-Yon,Informatique (matériel)|Informatique (prestations de services)|Logiciel,,,CAT08,Data & AI,,
15-146024,"acquisition de matériels d'amplification et de diffusion sonore pour la salle paul fort, 9 rue basse porte à Nantes",Sonorisation,32342410.0,32.0,CAT04,Telecom & Networks,,
17-22650,Le marché public a pour objet la fourniture de services d'interconnexion des sites avec la fourniture limitée d'accessoires pour les besoins de la Chambre d'agriculture des Pays de la L,Réseaux divers,64200000.0,64.0,CAT07,Digital Workplace & Collaboration,,
23-153517,"Maintenance adaptative, évolutive et corrective, aide à l'exploitation du PCS S-WING et ses modules optionnels",Informatique (maintenance serveurs et réseaux),72267000.0,72.0,CAT02,IT Services & Consulting,,
22-170390,maintien en conditions opérationnelles du coeur de réseau informatique du sdis49,Informatique (prestations de services),72250000.0,72.0,CAT03,Cybersecurity,,
17-168569,prestation de réalisation d'une orthophographie et d'un modèle numérique de terrain et d'élévation sur le territoire de nantes métropole,Informatique (prestations de services),72320000.0,72.0,CAT09,GIS & Mapping,,
20-59734,Renouvellement du parc informatique pour la migration vers Windows 10,Informatique (matériel),30200000.0,30.0,CAT06,IT Hardware & Equipment,,
17-57997,"Téléphonie - mise à niveau, extension, formation et maintenance du réseau de téléphonie Alcatel Lucent Oxe",Matériel de téléphonie,32545000.0,32.0,CAT04,Telecom & Networks,,
23-132924,"Prestations, assistance technique et accompagnement à l'évolution du Système d'Information Géographique du Département",Informatique (assistance),72220000.0,72.0,CAT02,IT Services & Consulting,,
23-94478,Acquisition de gilets haute visibilité normalisés à destination des élèves empruntant le transport scolaire,Matériel de sécurité,35113440.0,35.0,CAT03,Cybersecurity,,
20-8882,acquisition des tenues et équipements pour la sécurité et la prévention,Chaussures ou articles chaussants|Habillement|Matériel de sécurité,,,CAT_UNKNOWN,Unknown,,
18-137945,fourniture d'un système de vidéo-protection et d'une infrastructure virtualisée,Informatique (matériel)|Surveillance,,,CAT05,Cloud & Infrastructure,,
16-99329,Acquisition et maintenance des licences microsoft,Informatique (prestations de services),48900000.0,48.0,CAT01,Software & Applications,,
22-144511,Acquisition de matériels dans le cadre du CPER Recherche 2021/2027 de l'UBS,Equipements spécialisés,38434400.0,38.0,CAT_UNKNOWN,Unknown,,
19-144868,Virtualisation d'infrastructure informatique et hyperconvergence,Informatique (matériel)|Informatique (prestations de services)|Logiciel|Informatique (assistance),48800000.0,48.0,CAT05,Cloud & Infrastructure,,
24-22970,Accord cadre relatif à la logistique dans le cadre des manifestations évènementielles,Prestations de services,75310000.0,75.0,CAT09,GIS & Mapping,,
17-54861,Fourniture de licences microsoft,Informatique (matériel)|Informatique (prestations de services)|Informatique (assistance),48900000.0,48.0,CAT01,Software & Applications,,
16-42996,"Achats de véhicules, châssis et équipements pour les besoins du SDIS de La Vendée, à La Roche-sur-Yon",Pièces détachées|Véhicules,,,CAT_UNKNOWN,Unknown,,
23-135048,Travaux de construction du groupe scolaire Jules Verne à Montaigu (Montaigu-Vendée),"Ascenseur|Bâtiment|Carrelage|Charpente|Chauffage (travaux)|Cloison, faux plafond|Couverture|Electricité (travaux)|Espaces verts|Etanchéité|Gros oeuvre|Menuiserie|Peinture (travaux)|Prestations de services|Revêtements de sols|Serrurerie|Voirie et réseaux divers",45214200.0,45.0,CAT_UNKNOWN,Unknown,,
17-104307,acquisition de matériels de festivités pour la ville de saint-nazaire.,Matériel de sécurité|Mobilier|Evénementiel,39100000.0,39.0,CAT_UNKNOWN,Unknown,,
24-134353,"Fourniture, installation et maintenance de réseaux POL (Passive Optical LAN) pour le futur Centre Hospitalier Universitaire « Ile de Nantes »",Télécommunications,32412110.0,32.0,CAT04,Telecom & Networks,,
22-17129,"concession de travaux et de services pour le financement, la construction, la maintenance et l'exploitation de boucles locales optiques de dessertes à l'usager final sur le territoire de la sarthe",Télécommunications,64200000.0,64.0,CAT07,Digital Workplace & Collaboration,,
17-100085,Acquisition et maintenance d'un système de contrôle d'accès pour les équipements sportifs de la ville d'Angers,Contrôle d'accès,42961100.0,42.0,CAT_UNKNOWN,Unknown,,
21-25043,Achat de matériel de spectacle professionnel pour le théatre de la Fleuriaye et l'Ecole Municipale de Musique à Carquefou,Matériel scénique|Sonorisation|Spectacle,,,CAT08,Data & AI,,
15-31641,création d'un dispositif d'information plurimédia de l'ircantec à Angers,Prestations de services,,,CAT08,Data & AI,,
16-151887,Maintenance et extension du système de téléphonie (traditionnelle et sur IP) et du réseau informatique,Informatique (matériel)|Informatique (maintenance serveurs et réseaux),32522000.0,32.0,CAT04,Telecom & Networks,,
20-34709,"Conception, aménagement et fourniture d'écrans pour le Pavillon du tourisme sur le Village du Vendée Globe 2020",Matériel photographique et cinématographique|Stand|Evénementiel,79952000.0,79.0,CAT06,IT Hardware & Equipment,,
16-33092,"Marché de prestation de service de fourniture, installation et maintenance d'un système de vidéoprotection sur le territoire de la commune, au Pellerin",Informatique (prestations de services),35125300.0,35.0,CAT03,Cybersecurity,,
21-39987,Sécurisation de l'application carte Vitale,Prestations de services,72000000.0,72.0,CAT02,IT Services & Consulting,,
18-129648,Accord cadre relatif à la logistique dans le cadre des manifestations évènementielles organisées par la Ville du Mans - un an - renouvelable 3 fois,Location (matériels),75200000.0,75.0,CAT09,GIS & Mapping,,
16-157718,"Maintenance corrective, adaptative, réglementaire, évolutive du progiciel CLINICOM et de tous les modules sous licences associés",Informatique (prestations de services),72260000.0,72.0,CAT02,IT Services & Consulting,,
22-19299,Fourniture et prestations de refonte et de maintenance des infrastructures du système informatique de la Ville de Bouguenais.,Informatique (matériel)|Informatique (prestations de services)|Informatique (maintenance serveurs et réseaux),48800000.0,48.0,CAT05,Cloud & Infrastructure,,
23-33058,PRESTATION DE DETECTION DES INCIDENTS DE SECURITE (PDIS) QUALIFIEE ANSSI,Informatique (prestations de services),72600000.0,72.0,CAT02,IT Services & Consulting,,
22-21573,acquisition d'orthographies sur le territoire de nantes métropole,Prestations de services,72320000.0,72.0,CAT09,GIS & Mapping,,
24-52925,"Accord-cadre de prestations intellectuelles de mise à disposition de ressources, études et assistance technique - 2 lots",Ingénierie|Prestations de services,71300000.0,71.0,CAT_UNKNOWN,Unknown,,
17-75817,Fourniture et Maintenance de logiciels de gestion financière et de gestion de ressources humaines,Logiciel,48440000.0,48.0,CAT01,Software & Applications,,
24-70105,Services d'abonnement à des ressources documentaires juridiques principalement numériques,Abonnement|Assistance juridique|Prestations de services,79980000.0,79.0,CAT_UNKNOWN,Unknown,,
17-93952,Assistance technique réalisation,Assistance technique|Informatique (prestations de services),72212900.0,72.0,CAT07,Digital Workplace & Collaboration,,
17-4225,travaux d'entretien courant et de petites réparations répartis en 6 agences,Electricité (travaux)|Interphone|Maçonnerie|Menuiserie|Plomberie (travaux)|Serrurerie,45330000.0,45.0,CAT_UNKNOWN,Unknown,,
17-109941,17S0063 - Informatisation de la police municipale - modules associés et renouvellement des Procès Verbaux Electroniques pour la ville de Saint-Nazaire,Informatique (prestations de services),48730000.0,48.0,CAT01,Software & Applications,,
15-38026,"prestation de mise en place et d'exploitation d'un centre d'appels et de traitement de services informatiques,télécom et reprographie au profit de la CNIEG à Nantes",Informatique (prestations de services)|Reprographie|Télécommunications,72611000.0,72.0,CAT10,IT Maintenance & Support,,
19-120649,"Consommables et réactifs pour les laboratoires d'Hémostase-Hématologie, de Biologie Moléculaire, de Biochimie et de Microbiologie",Laboratoire (fourniture),33696500.0,33.0,CAT08,Data & AI,,
17-69161,Acquisition d'instruments de musique et mobilier musical pour le Conservatoire à Rayonnement Départemental de la Ville du Mans,Instruments de musique,37300000.0,37.0,CAT08,Data & AI,,
18-38591,18s0029- acquisition et maintenance d'un logiciel de gestion d'activités pour l'espace public pour la ville de saint nazaire et la carene (groupement de commande-coordonnateur ville de saint-nazaire),Logiciel,48000000.0,48.0,CAT01,Software & Applications,,
17-92288,construction d'un complexe cinématographique sur la commune d'ancenis,"Equipements spécialisés|Vidéo, cinéma",32320000.0,32.0,CAT04,Telecom & Networks,,
16-146809,"Fourniture, Installation, mise en oeuvre, accompagnement et maintenance d'une solution informatique de gestion du service d'anatomie cytologie pathologiques",Logiciel,48000000.0,48.0,CAT01,Software & Applications,,
20-71814,"Conception et réalisation d'une signalétique d'orientation, d'identification et d'information pour la base sous-marine et l'écluse fortifiée de Saint-Nazaire. Et accompagnemen","Mobilier urbain|Publicité, Communication|Signalisation|Signalétique",,,CAT09,GIS & Mapping,,
18-122938,MARCHE DE MAINTENANCE DES GROUPES ELECTROGENES 3516 DE MARQUE CATERPILLAR,Maintenance,32420000.0,32.0,CAT06,IT Hardware & Equipment,,
18-167431,"PRESTATION DE MISE EN PLACE ET D'EXPLOITATION D'UN CENTRE D'APPELS ET DE TRAITEMENT DES SERVICES INFORMATIQUES,TELECOMS ET DE REPROGRAPHIE",Informatique (assistance),72611000.0,72.0,CAT10,IT Maintenance & Support,,
20-98331,Prestations de conception événementielle et de création de productions visuelles et audio groupement de commandes entre la CARENE et la Ville de Saint-Nazaire,Prestations de services,79952000.0,79.0,CAT_UNKNOWN,Unknown,,
16-85662,prestation d'alimentation et de gestion de base de données pour les besoins de la Région des Pays de la Loire à Nantes,Informatique (prestations de services),72320000.0,72.0,CAT09,GIS & Mapping,,
21-36213,"Projet d'infrastructure de virtualisation serveurs (plateforme de virtualisation de production et de développement), plateforme de serveurs NAS, système de sauvegarde inclus et maintenance de ceu",Informatique (matériel)|Informatique (prestations de services)|Informatique (assistance)|Informatique (maintenance serveurs et réseaux),48800000.0,48.0,CAT05,Cloud & Infrastructure,,
18-103755,"Maintenance logicielle, corrective, adaptative, réglementaire, évolutive des solutions ZENIDOC",Maintenance,72267100.0,72.0,CAT02,IT Services & Consulting,,
20-148013,Réhabilitation du collège René Guy Cadou à Ancenis,Bâtiment|Chauffage (travaux)|Electricité (travaux)|Gros oeuvre|Amiante (désamiantage),45262700.0,45.0,CAT08,Data & AI,,
21-20759,"Définition, conception, réalisation, hébergement et maintenance du site internet de l'Autorité de Régulation des Transports",Site internet,,,CAT05,Cloud & Infrastructure,,
15-82236,fourniture et pose d'horodateurs et de bornes d'arret minute sur le territoire de la ville à Rezé,Horodateur|Mobilier extérieur,38720000.0,38.0,CAT_UNKNOWN,Unknown,,
24-80391,"Travaux relatifs à la distribution publique d'énergie électrique, aux réseaux d'éclairage public et d'infrastructures de communications électroniques, à la fourniture et à la pose de matériels d'éclai",Electricité (travaux)|Voirie et réseaux divers|Télécommunications|Eclairage public,45231400.0,45.0,CAT04,Telecom & Networks,,
16-63342,fourniture et prestations de services sur le système d'information et les équipe..,Equipements spécialisés|Informatique (prestations de services),45316210.0,45.0,CAT_UNKNOWN,Unknown,,
16-132878,acquisition d'un système d'information des ressources humaines (sirh) pour la ville d'avrillé,Logiciel,48000000.0,48.0,CAT01,Software & Applications,,
21-62138,TRAVAUX POUR LA CONSTRUCTION D'UN LYCEE POLYVALENT A SAINT-GILLES-CROIX-DE-VIE (85)Extincteurs et Signalétique de Sécurité Incendie,Extincteur,35111300.0,35.0,CAT03,Cybersecurity,,
18-83258,"construction de l'équipement à vocations sportive, culturelle et événementielle "" espace mayenne "" à laval","Appareil élévateur|Audiovisuel|Bâtiment|Carrelage|Charpente|Chauffage (travaux)|Climatisation|Cloison, faux plafond|Couverture|Electricité (travaux)|Equipement sportif|Equipements spécialisés|Espaces verts|Etanchéité|Matériel scénique|Menuiserie|Métallerie|Peinture (travaux)|Plomberie (travaux)|Revêtements de sols|Serrurerie|Terrassement|Ventilation|Vitrerie|Evénementiel",45212300.0,45.0,CAT_UNKNOWN,Unknown,,
17-39457,16-DIR-UDI-10,Informatique (prestations de services),72267000.0,72.0,CAT02,IT Services & Consulting,,
21-45078,Acquisition et installation d'une Infrastructure sécurisée de virtualisation de serveurs et Postes de travail et de Sauvegarde d'infrastructure virtuelle pour le SIRI 49 et ses adhérents,Informatique (matériel),48822000.0,48.0,CAT01,Software & Applications,,
16-139674,Evolution et maintien en condition opérationnelle des réseaux informatiques et des installations de téléphone sur Ip,Informatique (matériel)|Informatique (maintenance serveurs et réseaux),48800000.0,48.0,CAT05,Cloud & Infrastructure,,
20-51762,consolidation et développement des interfaces avec le système d'information de srd,Informatique (prestations de services),72514000.0,72.0,CAT02,IT Services & Consulting,,
22-132010,Maintenance et vérification Ville de Mûrs-Érigné,Maintenance,50000000.0,50.0,CAT_UNKNOWN,Unknown,,
21-32692,Infogérance du Système d'Information et mission d'accompagnement en sécurité informatique. Infogérance - PAAS (Platform as a service) - IAAS (Infrastructure as a service) - RSSI - PSSI - Cyb,Informatique (prestations de services),72611000.0,72.0,CAT10,IT Maintenance & Support,,
23-52464,"Prestations de maintenance préventive, corrective et fourniture de pièces détachées pour les extincteurs, RIA, colonnes sèches et poteaux incendie des établissements du GHT 49",Extincteur,50413200.0,50.0,CAT08,Data & AI,,
19-150722,Fourniture de matériel électrique et d'éclairage pour les services de la ville de Couëron,Matériel électrique|Matériel de sécurité,31600000.0,31.0,CAT_UNKNOWN,Unknown,,
24-11800,Accord cadre relatif à la logistique dans le cadre des manifestations évènementielles,Prestations de services,75310000.0,75.0,CAT09,GIS & Mapping,,
16-57603,"FOURNITURE, INSTALLATION, MISE EN SERVICE ET MAINTENANCE D'UN SERVEUR D'AFFICHAGE, D'UN MUR D'IMAGE ET D'ÉCRANS À COULAINES",Logiciel,48500000.0,48.0,CAT07,Digital Workplace & Collaboration,,
16-66951,Fourniture et installation de mobilier et d'équipement pour l'aménagement des résidences les ligériennes,Mobilier|Télévision,39100000.0,39.0,CAT08,Data & AI,,
23-97071,restauration et requalification du tribunal en maison du citoyen connecté restauration et aménagement intérieur du tribunal,Appareil élévateur|Charpente|Chauffage (travaux)|Décoration (travaux)|Electricité (travaux)|Informatique (matériel)|Isolation|Maçonnerie|Menuiserie|Métallerie|Mobilier|Peinture (travaux)|Plâtrerie|Plomberie (travaux)|Revêtements de sols|Revêtements muraux|Serrurerie|Ventilation,45212350.0,45.0,CAT_UNKNOWN,Unknown,,
24-14769,Assistance numérique pour les collèges publics de Loire-Atlantique,Informatique (prestations de services)|Informatique (assistance),72611000.0,72.0,CAT10,IT Maintenance & Support,,
22-79802,"appel à candidatures - travaux d'aménagements des espaces publics - projet grand bellevue - secteurs moulin des hiorts, moulin lambert et bois hardy",Alimentation en eau potable|Assainissement|Espaces verts|Réseaux divers|Travaux de viabilité|Voirie,45111291.0,45.0,CAT_UNKNOWN,Unknown,,
24-128725,Acquisition de sondes sous-marines multi-paramètres autonomes pour le suivi de mesures environnementales en zones conchylicoles ligériennes,Equipements spécialisés|Informatique (prestations de services)|Logiciel|Progiciel,38410000.0,38.0,CAT_UNKNOWN,Unknown,,
24-65111,Prestations d'assistance à l'adaptation et l'évolution du logiciel de gestion des ressources humaines HR ACCESS,Logiciel,72611000.0,72.0,CAT10,IT Maintenance & Support,,
23-42778,"Fourniture, Hébergement, Paramétrage, Intégration, Déploiement et Maintenance d'une Solution de Gestion des Activités de l'Unité de Thérapie Cellulaire et Génique (UTCG) du CHU de Nantes",Logiciel,72212180.0,72.0,CAT07,Digital Workplace & Collaboration,,
24-25465,"Achat, entretien et maintenance de systèmes d'impressions",Informatique (matériel)|Impression,30232100.0,30.0,CAT06,IT Hardware & Equipment,,
17-117588,"Acquisition de nouveaux outils SAS, redevance et maintenance des progiciels SAS existants et des nouveaux outils",Informatique (maintenance serveurs et réseaux),72267000.0,72.0,CAT02,IT Services & Consulting,,
21-103746,"Acquisition d'instruments de musique, de mobilier d'orchestre et de matériel technique pour le Conservatoire à rayonnement départemental de la Ville du Mans - durée de 2 ans",Instruments de musique|Sonorisation,,,CAT08,Data & AI,,
17-74598,"Acquisition d'un logiciel de gestion des entretiens d'évaluation, prestations de mise en oeuvre associées et maintenance",Informatique (prestations de services)|Logiciel,72212450.0,72.0,CAT07,Digital Workplace & Collaboration,,
17-108169,Prestations d'ingénierie et d'expertise autour des composants d'infrastructure,Informatique (prestations de services),72611000.0,72.0,CAT10,IT Maintenance & Support,,
22-1668,Renouvellement Materiel Audiovisuel pour le lycée Leonard de Vinci (85),Audiovisuel,32321300.0,32.0,CAT04,Telecom & Networks,,
17-68186,Accompagnement pour la mise en oeuvre du schéma directeur numérique de la Région des Pays de la Loire,Prestations de services,72000000.0,72.0,CAT02,IT Services & Consulting,,
22-17364,"Fourniture de logiciels bureautiques, maintenance et prestations associées pour les besoins du SDIS 44.",Logiciel,48000000.0,48.0,CAT01,Software & Applications,,
16-81783,"Fourniture d'un progiciel de gestion d'immobilier social, de prestations de services associées et maintenance pour Le Mans Habitat (rectificatif)",Logiciel|Progiciel,72600000.0,72.0,CAT02,IT Services & Consulting,,
18-10415,Acquisition d'une enceinte blindée haute énergie pour le Centre d'Imagerie Multimodale Appliqué (CIMA) de l'Université de Nantes,Radiologie (matériel),35113200.0,35.0,CAT03,Cybersecurity,,
24-35418,La présente procédure porte sur la fourniture d'une solution régionale de dossiers d'intervention SMUR dématérialisés.,Logiciel,72212900.0,72.0,CAT07,Digital Workplace & Collaboration,,
18-61507,"fourniture, déploiement et maintenance d'une plateforme alumni pour centrale de nantes",Dématérialisation|Site internet|Prestations de services,48000000.0,48.0,CAT01,Software & Applications,,
21-77546,Prestations d'assistance et d'expertise autour des composants d'infrastructure de niveau 2 et 3 pour le Département et les collèges de Loire-Atlantique,Informatique (assistance)|Informatique (maintenance serveurs et réseaux),72611000.0,72.0,CAT10,IT Maintenance & Support,,
21-156075,Remplacement du système de sécurité incendie au collège Jean-Baptiste Colbert à Cholet,Alarme|Détection incendie|Electricité (travaux)|Matériel de sécurité|Sécurité incendie,35000000.0,35.0,CAT03,Cybersecurity,,
