idweb,dateparution,datefindiffusion,datelimitereponse,nomacheteur,code_departement,famille,nature,nature_libelle,type_procedure,type_marche,type_avis,descripteur_libelle,objet,titulaire,annonce_lie,contractfolderid,etat,url_avis,donnees_format,cpv_principal,cpv_all,buyer_siret,buyer_cp,buyer_ville,amount_eur,duration_months,duration_source_field,date_attribution,date_publication_anterieure,notice_id_original,raw_source_file_group,notice_id,year,buyer_name_raw,buyer_name_normalized,objet_clean,buyer_siret_raw,buyer_siret_clean,buyer_siren_raw,buyer_siren_clean,buyer_siren_from_siret,cpv_clean,cpv_full8,cpv_div2,cpv_group3,cpv_class4,cpv_category5,cpv_is_missing,cpv_is_generic,amount_raw,flag_amount_zero,flag_amount_tiny,flag_amount_ceiling,amount_clean,duration_raw_boamp,flag_duration_suspect,duration_clean,duration_imputed_flag,category_id,category_label,buyer_siren_enriched,buyer_siret_enriched,buyer_enrichment_source,buyer_enrichment_confidence,buyer_enrichment_status,buyer_enrichment_score,buyer_enrichment_margin,buyer_enrichment_candidate_count,buyer_enrichment_name,buyer_enrichment_note,buyer_key,buyer_key_type,buyer_key_source,raw_trace_id
17-156332,2017-11-07,2017-12-01,,Centre Hospitalier de Cholet,49,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Maintenance|Sécurité incendie,Maintenance des systèmes de sécurité incendie,SIEMENS,17-104895,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-156332,legacy,35111000,35111000,,49325,Cholet Cedex,262409.0,,,2017-10-09,,17-156332,data/raw/boamp_current,17-156332,2017,Centre Hospitalier de Cholet,centre hospitalier cholet,maintenance des systemes de securite incendie,,,,,,35111000,35111000,35,351,3511,35111,False,False,262409.0,0,0,0,262409.0,,0,,True,CAT03,Cybersecurity,264900390,26490039000016,previous_high_confidence_cache,HIGH,matched,100.0,7.3,10,CENTRE HOSPITALIER DE CHOLET,seeded from existing high-confidence buyer enrichment,SIREN:264900390,SIREN_ENRICHED,external_enrichment,BOAMP:17-156332
17-157573,2017-11-08,2017-12-23,,Le Mans Métropole - Communauté Urbaine,72,FNS,ATTRIBUTION,Résultat de marché,PROCEDURE_ADAPTE,,|10|6,Assistance à maîtrise d'ouvrage|Informatique (assistance),Assistance à maîtrise d'ouvrage sur l'archivage électronique,La Poste,17-69162,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-157573,legacy,72600000,72600000,,72039,Le Mans,70175.0,,,2017-10-30,,17-157573,data/raw/boamp_current,17-157573,2017,Le Mans Métropole - Communauté Urbaine,mans metropole communaute urbaine,assistance a maitrise d ouvrage sur l archivage electronique,,,,,,72600000,72600000,72,726,7260,72600,False,False,70175.0,0,0,0,70175.0,,0,,True,CAT02,IT Services & Consulting,247200132,24720013200014,previous_high_confidence_cache,HIGH,matched,100.0,60.5,4,LE MANS METROPOLE COMMUNAUTE URBAINE,seeded from existing high-confidence buyer enrichment,SIREN:247200132,SIREN_ENRICHED,external_enrichment,BOAMP:17-157573
17-156621,2017-11-08,2017-12-20,,Conseil régional des Pays de la Loire,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Film|Prestations de services|Véhicules,"Conception, organisation et animation du dispositif ApprentiBus pour la promotion des métiers et de l'apprentissage en région Pays de la Loire",PODIOCOM|PLUS EDITIONS LE WEB PEDAGOGIQUE|PLUS EDITIONS LE WEB PEDAGOGIQUE,17-77862,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-156621,legacy,34144700,34144700|None|32354500,,44966,Nantes cedex 9,740000.0,,,2017-10-04,,17-156621,data/raw/boamp_current,17-156621,2017,Conseil régional des Pays de la Loire,conseil regional pays loire,conception organisation et animation du dispositif apprentibus pour la promotion des metiers et de l apprentissage en region pays de la loire,,,,,,34144700,34144700,34,341,3414,34144,False,False,740000.0,0,0,0,740000.0,,0,,True,CAT_UNKNOWN,Unknown,234400034,23440003400026,previous_high_confidence_cache,HIGH,matched,81.3,,1,REGION DES PAYS DE LA LOIRE,seeded from existing high-confidence buyer enrichment,SIREN:234400034,SIREN_ENRICHED,external_enrichment,BOAMP:17-156621
17-158731,2017-11-09,2017-12-01,2017-12-01T16:00:00+00:00,Département de la Vendée,85,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,SERVICES,5|1|,Assistance technique,Prestations d'assistance technique relatives à l'évolution du SIG,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-158731,legacy,72220000,72220000,,85923,LA ROCHE SUR YON,,,,,,17-158731,data/raw/boamp_current,17-158731,2017,Département de la Vendée,departement vendee,prestations d assistance technique relatives a l evolution du sig,,,,,,72220000,72220000,72,722,7222,72220,False,False,,0,0,0,,,0,,True,CAT02,IT Services & Consulting,228500013,22850001300658,previous_high_confidence_cache,HIGH,matched,100.0,,1,DEPARTEMENT DE VENDEE,seeded from existing high-confidence buyer enrichment,SIREN:228500013,SIREN_ENRICHED,external_enrichment,BOAMP:17-158731
17-158200,2017-11-11,2017-12-31,,Ville de Beaucouzé,49,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,TRAVAUX,|10|6,"Alarme|Bardage|Carrelage|Charpente|Chauffage (travaux)|Cloison, faux plafond|Couverture|Contrôle d'accès|Electricité (travaux)|Equipement sportif|Etanchéité|Gros oeuvre|Menuiserie|Métallerie|Peinture (travaux)|Plomberie (travaux)|Revêtements de sols|Revêtements muraux|Sonorisation|Terrain de sport|Ventilation",construction d'une halle de sport sur le site de la haye à beaucouzé,GCA|BRIAND CONSTRUCTION BOIS|SOTEBA|SOTEBA|ALUVAL|SEM|ATELIER LACOUR|FOUILLET|VALLEE ATLANTIQUE|LE GAL COMISO|MALEINGE|SPORTING SOL|CEGELEC|CEGELEC|CEGELEC|CEME MOREAU|MARTY SPORT,17-106845|17-109686|17-112650,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-158200,legacy,45212200,45212200|45223220|45261100|45261210|45261410|45421000|45421141|45442100|45421146|45431000|45432100|09310000|35121700|48952000|45331000|37400000,,49071,BEAUCOUZE,721221.72,,,2017-11-08,2017-07-29,17-158200,data/raw/boamp_current,17-158200,2017,Ville de Beaucouzé,ville beaucouze,construction d une halle de sport sur le site de la haye a beaucouze,,,,,,45212200,45212200,45,452,4521,45212,False,False,721221.72,0,0,0,721221.72,,0,,True,CAT_UNKNOWN,Unknown,214900201,21490020100069,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE BEAUCOUZE,seeded from existing high-confidence buyer enrichment,SIREN:214900201,SIREN_ENRICHED,external_enrichment,BOAMP:17-158200
17-158882,2017-11-12,2017-12-11,,Nantes Métropole,44,JOUE,ATTRIBUTION,Résultat de marché,NEGOCIE,SERVICES,|10|6,Logiciel,acquisition et mise en oeuvre d'une solution logicielle de géolocalisation des collectes des déchets embarquée dans les véhicules des opérateurs publics de collecte (nantes et régie du sud-ouest).,Novacom Services,17-73536,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-158882,legacy,48000000,48000000,,44923,Nantes cedex 9,537340.64,,,2017-10-26,2017-05-27,17-158882,data/raw/boamp_current,17-158882,2017,Nantes Métropole,nantes metropole,acquisition et mise en oeuvre d une solution logicielle de geolocalisation des collectes des dechets embarquee dans les vehicules des operateurs publics de collecte nantes et regie du sud ouest,,,,,,48000000,48000000,48,480,4800,48000,False,True,537340.64,0,0,0,537340.64,,0,,True,CAT01,Software & Applications,794304097,79430409700023,api_recherche_entreprises_current,HIGH,matched,92.2,4.2,10,TAXIS NANTES METROPOLE,query=nantes metropole,SIREN:794304097,SIREN_ENRICHED,external_enrichment,BOAMP:17-158882
17-159373,2017-11-12,2017-12-11,,CHU de Nantes,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (maintenance serveurs et réseaux),Tierce Maintenance applicative du logiciel PEGASE,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-159373,legacy,72267000,72267000,,44093,Nantes cedex,,48.0,DUREE_MOIS,,,17-159373,data/raw/boamp_current,17-159373,2017,CHU de Nantes,chu nantes,tierce maintenance applicative du logiciel pegase,,,,,,72267000,72267000,72,722,7226,72267,False,False,,0,0,0,,48.0,0,48.0,False,CAT02,IT Services & Consulting,264400136,26440013600471,previous_high_confidence_cache,HIGH,matched,91.3,,1,CHU NANTES (CHU),seeded from existing high-confidence buyer enrichment,SIREN:264400136,SIREN_ENRICHED,external_enrichment,BOAMP:17-159373
17-156562,2017-11-12,2018-01-15,,Syndicat Départemental d'Energie,85,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Equipements spécialisés|Logiciel|Maintenance,"fourniture, supervision, monétique, assistance et maintenance d'infrastructures de recharge pour les véhicules électriques",BOUYGUES ENERGIES &amp; SERVICES|BOUYGUES ENERGIES &amp; SERVICES|BOUYGUES ENERGIES &amp; SERVICES,17-73357,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-156562,legacy,32424000,32424000|72514100|None,,85000,LA ROCHE SUR YON,59447.0,,,2017-10-26,2017-05-27,17-156562,data/raw/boamp_current,17-156562,2017,Syndicat Départemental d'Energie,syndicat departemental energie,fourniture supervision monetique assistance et maintenance d infrastructures de recharge pour les vehicules electriques,,,,,,32424000,32424000,32,324,3242,32424,False,False,59447.0,0,0,0,59447.0,,0,,True,CAT04,Telecom & Networks,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,71.6,22.7,4,SYNDICAT DEPARTEMENTAL D'ENERGIE ET D'EQUIPEMENT DE LA VENDEE (SYDEV),query=departemental energie,NAME:syndicat departemental energie,NAME,normalized_buyer_name,BOAMP:17-156562
17-158224,2017-11-12,2017-12-12,,Nantes Métropole,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (maintenance serveurs et réseaux),"maintenance, migration et extension du parc de licences business objects.",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-158224,legacy,48000000,48000000,,,Nantes Cedex 9,,48.0,DUREE_MOIS,,,17-158224,data/raw/boamp_current,17-158224,2017,Nantes Métropole,nantes metropole,maintenance migration et extension du parc de licences business objects,,,,,,48000000,48000000,48,480,4800,48000,False,True,,0,0,0,,48.0,0,48.0,False,CAT01,Software & Applications,794304097,79430409700023,api_recherche_entreprises_current,HIGH,matched,92.2,4.2,10,TAXIS NANTES METROPOLE,query=nantes metropole,SIREN:794304097,SIREN_ENRICHED,external_enrichment,BOAMP:17-158224
17-159853,2017-11-13,2017-12-08,2017-12-08T13:00:00+00:00,Angers Loire Métropole,49,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,,5|1|,Logiciel|Maintenance,"Fourniture, maintenance des logiciels et produits ESRI et prestations associées",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-159853,legacy,72267100,72267100,,49020,ANGERS,,36.0,DUREE_MOIS,,,17-159853,data/raw/boamp_current,17-159853,2017,Angers Loire Métropole,angers loire metropole,fourniture maintenance des logiciels et produits esri et prestations associees,,,,,,72267100,72267100,72,722,7226,72267,False,False,,0,0,0,,36.0,0,36.0,False,CAT02,IT Services & Consulting,244900015,24490001500011,previous_high_confidence_cache,HIGH,matched,77.8,18.0,10,COMMUNAUTE URBAINE ANGERS LOIRE METROPOLE,seeded from existing high-confidence buyer enrichment,SIREN:244900015,SIREN_ENRICHED,external_enrichment,BOAMP:17-159853
17-160086,2017-11-13,2017-12-31,,Commune de Saint-Nazaire,44,FNS,ATTRIBUTION,Résultat de marché,PROCEDURE_ADAPTE,SERVICES,|10|6,Informatique (prestations de services),17S0063 - Informatisation de la police municipale - modules associés et renouvellement des Procès Verbaux Electroniques pour la ville de Saint-Nazaire,LOGITUD Solutions,17-109941,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-160086,legacy,48730000,48730000,,44606,Saint Nazaire,105696.0,,,2017-11-13,,17-160086,data/raw/boamp_current,17-160086,2017,Commune de Saint-Nazaire,commune saint nazaire,17s0063 informatisation de la police municipale modules associes et renouvellement des proces verbaux electroniques pour la ville de saint nazaire,,,,,,48730000,48730000,48,487,4873,48730,False,False,105696.0,0,0,0,105696.0,,0,,True,CAT01,Software & Applications,214401846,21440184600016,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE SAINT-NAZAIRE,seeded from existing high-confidence buyer enrichment,SIREN:214401846,SIREN_ENRICHED,external_enrichment,BOAMP:17-160086
17-160190,2017-11-14,2018-01-31,,MAYENNE TRES HAUT DEBIT,53,DSP,ATTRIBUTION,Résultat de marché,NEGOCIE,SERVICES,|10|8,Fibre optique,"concession pour la conception, l'établissement, le financement et l'exploitation du réseau de communications électroniques à très haut débit de la mayenne",ORANGE,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-160190,legacy,32412100,32412100,,53000,LAVAL,311047312.0,240.0,DUREE_MOIS,2017-10-10,,17-160190,data/raw/boamp_current,17-160190,2017,MAYENNE TRES HAUT DEBIT,mayenne tres haut debit,concession pour la conception l etablissement le financement et l exploitation du reseau de communications electroniques a tres haut debit de la mayenne,,,,,,32412100,32412100,32,324,3241,32412,False,False,311047312.0,0,0,1,,240.0,1,,True,CAT04,Telecom & Networks,200061778,20006177800011,previous_high_confidence_cache,HIGH,matched,100.0,,1,MAYENNE TRES HAUT DEBIT,seeded from existing high-confidence buyer enrichment,SIREN:200061778,SIREN_ENRICHED,external_enrichment,BOAMP:17-160190
17-160358,2017-11-15,2017-12-14,,Commune de Saint-Nazaire,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Matériel de sécurité|Mobilier|Evénementiel,acquisition de matériels de festivités pour la ville de saint-nazaire.,DOUBLET|OUEST COLLECTIVITES|EQUIP CITE|DOUBLET|BRUNNER|OUEST COLLECTIVITES,17-104307,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-160358,legacy,39100000,39100000|34928300|35821000,,44606,Saint-Nazaire,100000.0,,,2017-11-09,2017-07-26,17-160358,data/raw/boamp_current,17-160358,2017,Commune de Saint-Nazaire,commune saint nazaire,acquisition de materiels de festivites pour la ville de saint nazaire,,,,,,39100000,39100000,39,391,3910,39100,False,False,100000.0,0,0,0,100000.0,,0,,True,CAT_UNKNOWN,Unknown,214401846,21440184600016,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE SAINT-NAZAIRE,seeded from existing high-confidence buyer enrichment,SIREN:214401846,SIREN_ENRICHED,external_enrichment,BOAMP:17-160358
17-162061,2017-11-18,2017-12-16,,Commune de Saint-Nazaire,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Informatique (matériel)|Informatique (maintenance serveurs et réseaux),17s0056 - renouvellement des infrastructures de stockage informatique,Pentasonic,17-100105|17-105129,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-162061,legacy,48000000,48000000,,44606,Saint-Nazaire cedex,287044.38,,,2017-11-15,2017-07-20,17-162061,data/raw/boamp_current,17-162061,2017,Commune de Saint-Nazaire,commune saint nazaire,17s0056 renouvellement des infrastructures de stockage informatique,,,,,,48000000,48000000,48,480,4800,48000,False,True,287044.38,0,0,0,287044.38,,0,,True,CAT01,Software & Applications,214401846,21440184600016,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE SAINT-NAZAIRE,seeded from existing high-confidence buyer enrichment,SIREN:214401846,SIREN_ENRICHED,external_enrichment,BOAMP:17-162061
17-161917,2017-11-18,2017-12-22,,Conseil départemental Loire-Atlantique,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services)|Informatique (assistance),Assistance pour le développement spécifique applicatif,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-161917,legacy,72611000,72611000|None,,44041,NANTES,3200000.0,12.0,DUREE_MOIS,,,17-161917,data/raw/boamp_current,17-161917,2017,Conseil départemental Loire-Atlantique,conseil departemental loire atlantique,assistance pour le developpement specifique applicatif,,,,,,72611000,72611000,72,726,7261,72611,False,False,3200000.0,0,0,0,3200000.0,12.0,0,12.0,False,CAT10,IT Maintenance & Support,935367433,93536743300015,previous_high_confidence_cache,HIGH,matched,93.4,5.4,10,CONSEIL DEPARTEMENTAL DES MOSQUEES DE LOIRE-ATLANTIQUE (CDM),seeded from existing high-confidence buyer enrichment,SIREN:935367433,SIREN_ENRICHED,external_enrichment,BOAMP:17-161917
17-151780,2017-11-19,2018-01-17,,Cté de Cnes de l'Ile de Noirmoutier,85,JOUE,ATTRIBUTION,Résultat de marché,RESTREINT,SERVICES,|10|6,Audiovisuel|Equipements spécialisés|Informatique (matériel)|Logiciel|Maintenance|Mobilier|Signalétique|Equipement muséographique,aménagements scénographiques de l'hotel jacobsen centre des patrimoines maritimes,SARL OPIXIDO|SARL DOMOVISUAL|HARMOGE S.R.L.|BOSCHER SIGNALETIQUE ET IMAGE,17-42319,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-151780,legacy,92521100,92521100|72212190|None|42962000,,85330,Noirmoutier-en-l'ile,178822.0,,,2017-10-25,2017-04-15,17-151780,data/raw/boamp_current,17-151780,2017,Cté de Cnes de l'Ile de Noirmoutier,cte cnes ile noirmoutier,amenagements scenographiques de l hotel jacobsen centre des patrimoines maritimes,,,,,,92521100,92521100,92,925,9252,92521,False,False,178822.0,0,0,0,178822.0,,0,,True,CAT_UNKNOWN,Unknown,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=cte cnes ile noirmoutier,NAME:cte cnes ile noirmoutier,NAME,normalized_buyer_name,BOAMP:17-151780
17-161006,2017-11-19,2017-12-18,,Angers Loire Métropole,49,JOUE,APPEL_OFFRE,Avis de marché,NEGOCIE,SERVICES,5|1|,Logiciel,acquisition et mise en place d'une solution de gestion électronique des documents,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-161006,legacy,48311000,48311000,,49020,ANGERS CEDEX 02,210000.0,48.0,DUREE_MOIS,,,17-161006,data/raw/boamp_current,17-161006,2017,Angers Loire Métropole,angers loire metropole,acquisition et mise en place d une solution de gestion electronique des documents,,,,,,48311000,48311000,48,483,4831,48311,False,False,210000.0,0,0,0,210000.0,48.0,0,48.0,False,CAT01,Software & Applications,244900015,24490001500011,previous_high_confidence_cache,HIGH,matched,77.8,18.0,10,COMMUNAUTE URBAINE ANGERS LOIRE METROPOLE,seeded from existing high-confidence buyer enrichment,SIREN:244900015,SIREN_ENRICHED,external_enrichment,BOAMP:17-161006
17-139842,2017-11-22,2017-12-20,,GCS eSanté Pays de la Loire,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,"Assistance technique|Etude|Informatique (prestations de services)|Mission d'ordonnancement, pilotage, coordination (OPC)|Prestations de services|Formation|Assistance à maîtrise d'ouvrage|Informatique (assistance)","Accord-cadre pour des prestations d'assistance à maîtrise d'ouvrage système d'information, conseil en organisation et ingénierie de processus et architecture des systèmes d'information",VERSO Consulting|VERSO Consulting|WAVESTONE,17-56720,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-139842,legacy,72220000,72220000|None,,44200,Nantes,2200000.0,,,2017-08-29,2017-04-26,17-139842,data/raw/boamp_current,17-139842,2017,GCS eSanté Pays de la Loire,gcs esante pays loire,accord cadre pour des prestations d assistance a maitrise d ouvrage systeme d information conseil en organisation et ingenierie de processus et architecture des systemes d information,,,,,,72220000,72220000,72,722,7222,72220,False,False,2200000.0,0,0,0,2200000.0,,0,,True,CAT02,IT Services & Consulting,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=gcs esante pays loire,NAME:gcs esante pays loire,NAME,normalized_buyer_name,BOAMP:17-139842
17-163751,2017-11-22,2018-02-11,,Université de Nantes,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (prestations de services),A completer,,17-142028,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-163751,legacy,72224000,72224000|None,,44035,Nantes cedex 1,,,,,,17-163751,data/raw/boamp_current,17-163751,2017,Université de Nantes,universite nantes,a completer,,,,,,72224000,72224000,72,722,7222,72224,False,False,,0,0,0,,,0,,True,CAT02,IT Services & Consulting,130029747,13002974700016,previous_high_confidence_cache,HIGH,matched,100.0,34.1,2,NANTES UNIVERSITE,seeded from existing high-confidence buyer enrichment,SIREN:130029747,SIREN_ENRICHED,external_enrichment,BOAMP:17-163751
17-163707,2017-11-22,2018-01-10,,GIE SESAM Vitale,72,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services),PCA - Hébergement de secours serveurs,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-163707,legacy,72910000,72910000,,72019,Le mans cedex 2,,24.0,DUREE_MOIS,,,17-163707,data/raw/boamp_current,17-163707,2017,GIE SESAM Vitale,gie sesam vitale,pca hebergement de secours serveurs,,,,,,72910000,72910000,72,729,7291,72910,False,False,,0,0,0,,24.0,0,24.0,False,CAT02,IT Services & Consulting,391722881,39172288100052,previous_high_confidence_cache,HIGH,matched,100.0,,1,GIE SESAM VITALE,seeded from existing high-confidence buyer enrichment,SIREN:391722881,SIREN_ENRICHED,external_enrichment,BOAMP:17-163707
17-161606,2017-11-23,2017-12-15,2017-12-15T11:00:00+00:00,CARENE,44,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,,5|1|,Audiovisuel,17S0075 - Travaux d'installation d'équipements audiovisuels dans le cadre de la modernisation ou la création de salles de réunion pour la Carene,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-161606,legacy,32321200,32321200,,44605,Saint Nazaire cedex,84000.0,,,,,17-161606,data/raw/boamp_current,17-161606,2017,CARENE,carene,17s0075 travaux d installation d equipements audiovisuels dans le cadre de la modernisation ou la creation de salles de reunion pour la carene,,,,,,32321200,32321200,32,323,3232,32321,False,False,84000.0,0,0,0,84000.0,,0,,True,CAT04,Telecom & Networks,524795564,52479556400011,api_recherche_entreprises_current,HIGH,matched,90.9,20.3,10,CAREN,query=carene,SIREN:524795564,SIREN_ENRICHED,external_enrichment,BOAMP:17-161606
17-165149,2017-11-25,2017-12-30,,ONIRIS,44,JOUE,APPEL_OFFRE,Avis de marché,NEGOCIE,SERVICES,5|1|,Informatique (prestations de services)|Logiciel,Acquisition d'un système de stockage d'archivage et de diffusion des images médicales,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-165149,legacy,72212328,72212328,,44037,Nantes,,12.0,DUREE_MOIS,,,17-165149,data/raw/boamp_current,17-165149,2017,ONIRIS,oniris,acquisition d un systeme de stockage d archivage et de diffusion des images medicales,,,,,,72212328,72212328,72,722,7221,72212,False,False,,0,0,0,,12.0,0,12.0,False,CAT07,Digital Workplace & Collaboration,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,52.4,6.9,10,GALA ONIRIS INGENIEUR,query=oniris,NAME:oniris,NAME,normalized_buyer_name,BOAMP:17-165149
17-165585,2017-11-25,2018-01-23,,SDIS 44,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Télécommunications,"FOURNITURE, MAINTENANCE ET EVOLUTIONS DE SYSTEMES DE TELEPHONIE, D'EQUIPEMENTS ACTIFS DE RESEAU ET D'EQUIPEMENTS DE SECURITE ET PRESTATIONS DE SERVICES ASSOCIEES POUR LE SDIS DE LOIRE-ATLANT",NXO FRANCE|NXO FRANCE|SFR BUSINESS,17-80573,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-165585,legacy,32524000,32524000,,44243,La chapelle sur erdre,320000.0,,,2017-10-17,,17-165585,data/raw/boamp_current,17-165585,2017,SDIS 44,sdis 44,fourniture maintenance et evolutions de systemes de telephonie d equipements actifs de reseau et d equipements de securite et prestations de services associees pour le sdis de loire atlant,,,,,,32524000,32524000,32,325,3252,32524,False,False,320000.0,0,0,0,320000.0,,0,,True,CAT04,Telecom & Networks,284400017,28440001700018,previous_high_confidence_cache,HIGH,matched,100.0,42.3,10,SCE DEPARTEMENTAL INCENDIE ET SECOURS (SDIS),seeded from existing high-confidence buyer enrichment,SIREN:284400017,SIREN_ENRICHED,external_enrichment,BOAMP:17-165585
17-165815,2017-11-25,2018-01-05,,DREAL BRETAGNE,35|22|29|44|50|53|56|72,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services),"Marché de prestations informatiques (conseil, développements)",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-165815,legacy,48000000,48000000|None,,35065,Rennes cedex,,48.0,DUREE_MOIS,,,17-165815,data/raw/boamp_current,17-165815,2017,DREAL BRETAGNE,dreal bretagne,marche de prestations informatiques conseil developpements,,,,,,48000000,48000000,48,480,4800,48000,False,True,,0,0,0,,48.0,0,48.0,False,CAT01,Software & Applications,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,41.7,,1,DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT BRETAGNE (DREAL),query=dreal bretagne,NAME:dreal bretagne,NAME,normalized_buyer_name,BOAMP:17-165815
17-165817,2017-11-25,2018-01-05,,DREAL BRETAGNE,35|22|29|44|50|53|56|72,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services)|Informatique (maintenance serveurs et réseaux),Marché de prestations informatiques (infrastructures réseaux),,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-165817,legacy,48000000,48000000|50312300|48800000,,35065,Rennes cedex,,48.0,DUREE_MOIS,,,17-165817,data/raw/boamp_current,17-165817,2017,DREAL BRETAGNE,dreal bretagne,marche de prestations informatiques infrastructures reseaux,,,,,,48000000,48000000,48,480,4800,48000,False,True,,0,0,0,,48.0,0,48.0,False,CAT01,Software & Applications,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,41.7,,1,DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT BRETAGNE (DREAL),query=dreal bretagne,NAME:dreal bretagne,NAME,normalized_buyer_name,BOAMP:17-165817
17-165992,2017-11-25,2018-01-23,,Angers Loire Métropole,49,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Contrôle d'accès,Acquisition et maintenance d'un système de contrôle d'accès pour les équipements sportifs de la ville d'Angers,HORANET,17-100085,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:17-165992,legacy,42961100,42961100|72267000,,49020,ANGERS,150000.0,,,2017-11-10,2017-07-15,17-165992,data/raw/boamp_current,17-165992,2017,Angers Loire Métropole,angers loire metropole,acquisition et maintenance d un systeme de controle d acces pour les equipements sportifs de la ville d angers,,,,,,42961100,42961100,42,429,4296,42961,False,False,150000.0,0,0,0,150000.0,,0,,True,CAT_UNKNOWN,Unknown,244900015,24490001500011,previous_high_confidence_cache,HIGH,matched,77.8,18.0,10,COMMUNAUTE URBAINE ANGERS LOIRE METROPOLE,seeded from existing high-confidence buyer enrichment,SIREN:244900015,SIREN_ENRICHED,external_enrichment,BOAMP:17-165992
